id,city,latitude,longitude,temp_moyenne,temp_max,proba_pluie_moyenne,volume_pluie_total_mm,score_meteo
28,Collioure,42.52505,3.0831554,24.177,30.63,0.0,0.0,24.177
25,Nimes,43.8374249,4.3600687,23.69325,33.62,0.0,0.0,23.69325
29,Carcassonne,43.2130358,2.3491069,23.384,35.12,0.0,0.0,23.384
21,Marseille,43.2963986,5.3777888,23.206,26.47,0.0,0.0,23.206
26,Aigues Mortes,43.5661521,4.19154,23.146250000000002,28.43,0.0,0.0,23.146250000000002
23,Avignon,43.9492493,4.8059012,23.08425,32.06,0.0,0.0,23.08425
27,Saintes Maries de la mer,43.4515922,4.4277202,23.048,27.79,0.0,0.0,23.048
31,Toulouse,43.6044638,1.4442433,22.8315,33.99,0.0,0.0,22.8315
22,Aix en Provence,43.5298424,5.4474738,22.55925,29.57,0.0,0.0,22.55925
24,Uzes,44.0121279,4.4196718,22.47775,32.14,0.0,0.0,22.47775
32,Montauban,44.0175835,1.3549991,22.4155,35.0,0.0,0.0,22.4155
20,Cassis,43.2140359,5.5396318,22.22325,25.87,0.0,0.0,22.22325
6,Paris,48.8534951,2.3483915,22.2075,31.59,0.005,0.12,21.9675
17,Lyon,45.7578137,4.8320114,21.74975,31.63,0.0,0.0,21.74975
19,Bormes les Mimosas,43.1506968,6.3419285,21.619999999999997,26.23,0.0,0.0,21.619999999999997
16,Grenoble,45.1875602,5.7357819,20.7755,31.01,0.0,0.0,20.7755
35,La Rochelle,46.159732,-1.1515951,20.3315,26.77,0.0,0.0,20.3315
14,Dijon,47.3215806,5.0414701,20.035,30.09,0.005,0.14,19.755
15,Annecy,45.8992348,6.1288847,19.131999999999998,27.93,0.0,0.0,19.131999999999998
13,Besancon,47.2380222,6.0243622,18.85275,28.11,0.0,0.0,18.85275
12,Eguisheim,48.0447968,7.3079618,19.354,27.77,0.005,0.26,18.834
11,Colmar,48.0777517,7.3579641,19.5795,27.99,0.01,0.42000000000000004,18.7395
2,St Malo,48.649518,-2.0260409,18.74275,23.75,0.005,0.18,18.38275
3,Bayeux,49.2764624,-0.7024738,18.67575,27.44,0.005,0.24,18.19575
1,Mont Saint Michel,48.6359541,-1.51146,18.64675,25.04,0.005,0.24,18.16675
34,Bayonne,43.4945144,-1.4736657,20.463749999999997,30.26,0.04525,1.23,18.003749999999997
18,Gorges du Verdon,43.7496562,6.3285616,17.61825,24.88,0.0,0.0,17.61825
30,Ariege,42.9455368,1.4065544,17.74425,27.16,0.005,0.12,17.504250000000003
9,Strasbourg,48.584614,7.7507127,19.80025,28.09,0.05450000000000001,1.22,17.360249999999997
4,Le Havre,49.4938975,0.1079732,19.20525,24.68,0.02325,0.97,17.265249999999998
5,Rouen,49.4404591,1.0939658,19.31275,29.76,0.041,1.07,17.17275
33,Biarritz,43.4711437,-1.5527275,19.861,28.25,0.05125,1.56,16.741
10,Chateau du Haut Koenigsbourg,48.249382,7.3439412,16.92825,25.27,0.0105,0.59,15.748249999999999
7,Amiens,49.8941708,2.2956951,18.659,30.04,0.058499999999999996,2.33,13.998999999999999
8,Lille,50.6365654,3.0635282,19.185,28.95,0.155,6.859999999999999,5.465
